effector,pid,spd,n,model_pub,ks_pub,ks_new,ks_p,p_floor,crit95,crit90,rejected,B,passes_old_rule,at_bound,v_at_cap,t0_at_floor
HRT,CMT0015,75,119,single,0.0623,0.0623,0.6418,0.005,0.0921,0.0862,False,200,True,False,False,False
HRT,CMT0016,75,119,single,0.0681,0.0681,0.3383,0.005,0.0861,0.0799,False,200,True,False,False,False
HRT,CMT0017,75,119,single,0.0706,0.0705,0.204,0.005,0.0799,0.076,False,200,True,False,False,False
HRT,CMT002,75,116,single,0.0695,0.0695,0.2537,0.005,0.0843,0.079,False,200,True,False,False,False
HRT,CMT003,75,119,single,0.074,0.074,0.1194,0.005,0.0828,0.0753,False,200,True,False,False,True
HRT,CMT004,75,117,single,0.0474,0.0474,0.8955,0.005,0.0843,0.0789,False,200,True,False,False,False
HRT,CMT005,75,117,single,0.0758,0.0754,0.1542,0.005,0.0845,0.0794,False,200,True,False,False,False
HRT,CMT006,75,120,single,0.0586,0.0586,0.6368,0.005,0.0909,0.0824,False,200,True,False,False,False
HRT,CMT007,75,119,single,0.0684,0.0684,0.4478,0.005,0.0915,0.0846,False,200,True,False,False,False
HRT,CMT008,75,120,single,0.0508,0.0508,0.8657,0.005,0.081,0.0758,False,200,True,False,False,False
HRT,CMT009,75,120,single,0.0545,0.0545,0.7264,0.005,0.0842,0.0788,False,200,True,False,False,False
HRT,CMT010,75,119,single,0.062,0.062,0.6567,0.005,0.0889,0.0823,False,200,True,False,False,False
HRT,CMT001,150,115,single,0.0732,0.0732,0.209,0.005,0.0846,0.0794,False,200,True,False,False,True
HRT,CMT0011,150,117,single,0.0701,0.07,0.3184,0.005,0.0863,0.0818,False,200,True,False,False,False
HRT,CMT0012,150,120,single,0.0573,0.0573,0.7612,0.005,0.0904,0.0813,False,200,True,False,False,True
HRT,CMT0014,150,117,single,0.0553,0.0555,0.7363,0.005,0.0899,0.0823,False,200,True,False,False,False
HRT,CMT0015,150,119,single,0.0815,0.0815,0.1592,0.005,0.0939,0.0859,False,200,True,False,False,False
HRT,CMT0016,150,113,single,0.0555,0.0555,0.8408,0.005,0.0907,0.0885,False,200,True,False,False,True
HRT,CMT0017,150,120,single,0.0617,0.0617,0.5622,0.005,0.0839,0.0804,False,200,True,False,False,False
HRT,CMT002,150,116,single,0.0787,0.0787,0.1045,0.005,0.0826,0.0784,False,200,True,False,False,True
HRT,CMT003,150,118,single,0.0598,0.0598,0.5174,0.005,0.0856,0.0808,False,200,True,False,False,True
HRT,CMT004,150,119,single,0.076,0.076,0.1393,0.005,0.0834,0.0784,False,200,True,False,False,False
HRT,CMT005,150,119,single,0.1032,0.103,0.005,0.005,0.0884,0.0853,True,200,False,False,False,False
HRT,CMT006,150,120,single,0.0676,0.0676,0.3483,0.005,0.0857,0.0807,False,200,True,False,False,False
HRT,CMT007,150,117,single,0.1098,0.11,0.01,0.005,0.0881,0.0815,True,200,False,False,False,False
HRT,CMT008,150,115,single,0.0594,0.0594,0.5323,0.005,0.0862,0.0771,False,200,True,True,True,False
HRT,CMT009,150,120,single,0.0646,0.0646,0.6119,0.005,0.0962,0.0869,False,200,True,False,False,False
HRT,CMT010,150,118,single,0.0744,0.0744,0.2886,0.005,0.0886,0.0842,False,200,True,False,False,True
SRT,CMT001,0,80,single,0.0801,0.0801,0.3035,0.005,0.0945,0.0894,False,200,True,False,False,False
SRT,CMT0011,0,109,single,0.0523,0.0523,0.8358,0.005,0.09,0.0831,False,200,True,False,False,True
SRT,CMT0012,0,96,single,0.1221,0.1221,0.005,0.005,0.1004,0.0942,True,200,False,False,False,True
SRT,CMT0014,0,99,single,0.107,0.1068,0.005,0.005,0.0842,0.0799,True,200,False,False,False,False
SRT,CMT0015,0,114,single,0.0915,0.0915,0.0547,0.005,0.0914,0.0848,False,200,True,False,False,False
SRT,CMT0016,0,109,single,0.0995,0.0995,0.0149,0.005,0.0844,0.0769,True,200,True,False,False,True
SRT,CMT0017,0,113,mixture,0.1015,0.1013,0.0149,0.005,0.0866,0.08,True,200,False,False,False,False
SRT,CMT002,0,116,single,0.0839,0.0839,0.1642,0.005,0.0935,0.0882,False,200,True,False,False,False
SRT,CMT003,0,116,mixture,0.1168,0.1168,0.01,0.005,0.0923,0.0832,True,200,False,False,False,True
SRT,CMT004,0,112,mixture,0.1455,0.1455,0.005,0.005,0.0833,0.0793,True,200,False,False,False,True
SRT,CMT005,0,108,single,0.0829,0.0829,0.0995,0.005,0.091,0.0828,False,200,True,False,False,False
SRT,CMT006,0,102,mixture,0.1058,0.1058,0.01,0.005,0.0918,0.0882,True,200,False,False,False,False
SRT,CMT007,0,109,single,0.0899,0.0899,0.0647,0.005,0.092,0.0845,False,200,True,False,False,True
SRT,CMT008,0,110,single,0.0804,0.0804,0.3632,0.005,0.1023,0.0955,False,200,True,False,False,True
SRT,CMT009,0,109,single,0.1317,0.1317,0.005,0.005,0.0975,0.0926,True,200,False,False,False,True
SRT,CMT010,0,118,single,0.0463,0.0463,0.9254,0.005,0.087,0.0801,False,200,True,False,False,True
SRT,CMT001,75,90,single,0.0903,0.0903,0.0896,0.005,0.0944,0.0867,False,200,True,True,False,False
SRT,CMT0011,75,99,single,0.0953,0.0953,0.0249,0.005,0.0875,0.0848,True,200,True,False,False,True
SRT,CMT0012,75,91,single,0.1304,0.1304,0.01,0.005,0.0986,0.0917,True,200,False,True,True,False
SRT,CMT0014,75,107,single,0.0686,0.0683,0.2786,0.005,0.0798,0.0759,False,200,True,False,False,False
SRT,CMT0015,75,114,single,0.072,0.072,0.398,0.005,0.092,0.0882,False,200,True,False,False,False
SRT,CMT0016,75,109,single,0.0888,0.0888,0.0498,0.005,0.087,0.0805,True,200,True,False,False,True
SRT,CMT0017,75,117,single,0.0912,0.0912,0.0348,0.005,0.0884,0.0822,True,200,True,False,False,True
SRT,CMT002,75,112,mixture,0.1041,0.1041,0.0149,0.005,0.0896,0.0839,True,200,False,False,False,True
SRT,CMT003,75,115,mixture,0.1365,0.1365,0.005,0.005,0.0906,0.0835,True,200,False,False,False,True
SRT,CMT004,75,114,mixture,0.1283,0.1283,0.005,0.005,0.0922,0.086,True,200,False,False,False,True
SRT,CMT005,75,109,single,0.0539,0.0539,0.7413,0.005,0.0872,0.0827,False,200,True,False,False,True
SRT,CMT006,75,96,mixture,0.1004,0.1004,0.0498,0.005,0.0991,0.0859,True,200,False,False,False,True
SRT,CMT007,75,110,mixture,0.1151,0.1151,0.005,0.005,0.0929,0.0824,True,200,False,False,False,True
SRT,CMT008,75,105,mixture,0.1141,0.1141,0.0199,0.005,0.0977,0.0916,True,200,False,False,False,True
SRT,CMT009,75,112,single,0.0778,0.0778,0.2189,0.005,0.0976,0.0891,False,200,True,False,False,True
SRT,CMT010,75,117,single,0.0915,0.0915,0.0299,0.005,0.0852,0.0792,True,200,True,False,False,True
SRT,CMT001,150,79,single,0.0857,0.0857,0.1542,0.005,0.0976,0.0941,False,200,True,True,False,False
SRT,CMT0011,150,104,single,0.106,0.106,0.01,0.005,0.0896,0.0826,True,200,False,False,False,True
SRT,CMT0012,150,88,mixture,0.1749,0.1748,0.005,0.005,0.1002,0.0949,True,200,False,False,False,False
SRT,CMT0014,150,111,single,0.0559,0.0559,0.7313,0.005,0.0862,0.0807,False,200,True,False,False,True
SRT,CMT0015,150,115,single,0.0621,0.0621,0.4527,0.005,0.0823,0.0782,False,200,True,False,False,True
SRT,CMT0016,150,117,single,0.0909,0.0909,0.0398,0.005,0.0862,0.0774,True,200,True,False,False,True
SRT,CMT0017,150,113,single,0.0836,0.0838,0.0746,0.005,0.0855,0.0802,False,200,True,False,False,False
SRT,CMT002,150,113,single,0.0822,0.0822,0.1045,0.005,0.0871,0.0821,False,200,True,False,False,True
SRT,CMT003,150,115,mixture,0.1014,0.1014,0.0199,0.005,0.0897,0.0777,True,200,False,False,False,True
SRT,CMT004,150,113,mixture,0.1299,0.1299,0.005,0.005,0.0913,0.0853,True,200,False,False,False,True
SRT,CMT005,150,110,single,0.0677,0.0675,0.3682,0.005,0.0893,0.0829,False,200,True,False,False,False
SRT,CMT006,150,101,single,0.0871,0.0871,0.1493,0.005,0.0948,0.0892,False,200,True,False,False,True
SRT,CMT007,150,112,mixture,0.1314,0.1314,0.005,0.005,0.0885,0.0827,True,200,False,False,False,True
SRT,CMT008,150,109,mixture,0.1177,0.1177,0.01,0.005,0.0952,0.0924,True,200,False,False,False,True
SRT,CMT009,150,110,single,0.1584,0.1584,0.005,0.005,0.0994,0.0922,True,200,False,False,False,True
SRT,CMT010,150,117,mixture,0.1302,0.1303,0.005,0.005,0.0865,0.0812,True,200,False,False,False,False
