effector,pid,spd,n,model_pub,ks_pub,ks_new,ks_p,crit95,rejected,passes_old_rule,at_bound
SRT,CMT007,0,109,single,0.0899,0.0899,0.0697,0.0946,False,True,True
SRT,CMT008,0,110,single,0.0804,0.0804,0.3383,0.1005,False,True,True
SRT,CMT009,0,109,single,0.1317,0.1317,0.005,0.1003,True,False,True
SRT,CMT010,0,118,single,0.0463,0.0463,0.9005,0.0802,False,True,True
SRT,CMT001,75,90,single,0.0903,0.0913,0.0995,0.0965,False,True,True
SRT,CMT0011,75,99,single,0.0953,0.0953,0.0547,0.0949,False,True,True
SRT,CMT0012,75,91,single,0.1304,0.1316,0.005,0.0931,True,False,True
SRT,CMT0014,75,107,single,0.0686,0.0683,0.3134,0.0862,False,True,False
SRT,CMT0015,75,114,single,0.072,0.072,0.3483,0.0979,False,True,False
SRT,CMT0016,75,109,single,0.0888,0.0888,0.0498,0.087,True,True,True
SRT,CMT0017,75,117,single,0.0912,0.0912,0.0249,0.0849,True,True,True
SRT,CMT002,75,112,mixture,0.1041,0.1041,0.0249,0.0913,True,False,True
SRT,CMT003,75,115,mixture,0.1365,0.1365,0.005,0.089,True,False,True
SRT,CMT004,75,114,mixture,0.1283,0.1283,0.005,0.0937,True,False,True
SRT,CMT005,75,109,single,0.0539,0.0539,0.7861,0.0889,False,True,True
SRT,CMT006,75,96,mixture,0.1004,0.1004,0.01,0.0928,True,False,True
SRT,CMT007,75,110,mixture,0.1151,0.1151,0.005,0.0919,True,False,True
SRT,CMT008,75,105,mixture,0.1141,0.1141,0.0299,0.1033,True,False,True
SRT,CMT009,75,112,single,0.0778,0.0778,0.2388,0.0942,False,True,True
SRT,CMT010,75,117,single,0.0915,0.0915,0.0249,0.0863,True,True,True
SRT,CMT001,150,79,single,0.0857,0.0868,0.1393,0.0973,False,True,True
SRT,CMT0011,150,104,single,0.106,0.106,0.0149,0.0914,True,False,True
SRT,CMT0012,150,88,mixture,0.1749,0.1748,0.005,0.1032,True,False,False
SRT,CMT0014,150,111,single,0.0559,0.0559,0.7214,0.088,False,True,True
SRT,CMT0015,150,115,single,0.0621,0.0621,0.4279,0.0824,False,True,True
SRT,CMT0016,150,117,single,0.0909,0.0909,0.0149,0.0834,True,True,True
SRT,CMT0017,150,113,single,0.0836,0.0838,0.0697,0.0889,False,True,False
SRT,CMT002,150,113,single,0.0822,0.0822,0.1095,0.0867,False,True,True
SRT,CMT003,150,115,mixture,0.1014,0.1014,0.0149,0.0887,True,False,True
SRT,CMT004,150,113,mixture,0.1299,0.1299,0.005,0.0967,True,False,True
SRT,CMT005,150,110,single,0.0677,0.0675,0.3881,0.094,False,True,False
SRT,CMT006,150,101,single,0.0871,0.0871,0.1095,0.0971,False,True,True
SRT,CMT007,150,112,mixture,0.1314,0.1314,0.01,0.0884,True,False,True
SRT,CMT008,150,109,mixture,0.1177,0.1177,0.0149,0.0977,True,False,True
SRT,CMT009,150,110,single,0.1584,0.1584,0.005,0.1012,True,False,True
SRT,CMT010,150,117,mixture,0.1302,0.1303,0.005,0.0818,True,False,False
